community,size,grassroot,media_news,elite_political,top_node,top_node_in_degree
448,6,6,0,0,aeeec28370,2
486,6,6,0,0,ffb64fae0a,1
837,6,6,0,0,dbb7016b90,4
899,6,6,0,0,7842661cbf,1
991,6,6,0,0,ae31a514e8,4
1088,6,6,0,0,f7de018bd2,2
1200,6,6,0,0,0829c7930a,1
1220,6,6,0,0,5718f2bb0d,2
1379,6,6,0,0,6bb3ecad76,1
28,5,5,0,0,ce78969a3f,4
50,5,5,0,0,b040c53c21,3
75,5,5,0,0,891babe1be,2
76,5,5,0,0,283e998d07,3
92,5,5,0,0,ac7840f6b3,4
130,5,5,0,0,325650207d,3
131,5,5,0,0,56df58fee7,4
144,5,5,0,0,32936ed0f6,3
224,5,5,0,0,938f859ba2,4
232,5,4,1,0,fb4d225844,4
289,5,5,0,0,5e17869723,3
292,5,5,0,0,24f4111b33,3
298,5,5,0,0,aaaa8ad116,4
342,5,5,0,0,f22cc13948,1
347,5,5,0,0,534ea0ae2a,2
356,5,5,0,0,3531625bfd,2
383,5,5,0,0,546b463537,1
387,5,5,0,0,46f41dce6e,3
399,5,5,0,0,a44e6ccd09,1
416,5,5,0,0,77b87dd08f,1
459,5,5,0,0,0117db47c2,1
471,5,4,1,0,5bdf6c2987,3
488,5,5,0,0,47310f79bb,4
579,5,5,0,0,6b1eee4239,1
596,5,5,0,0,793da06a9d,1
625,5,5,0,0,83da3e06c3,3
626,5,5,0,0,32e0efd0c1,4
634,5,5,0,0,4310db92f3,3
661,5,5,0,0,e1c89f544b,3
857,5,5,0,0,ddd4e9e839,5
860,5,5,0,0,41031badbc,1
917,5,5,0,0,dea3370c63,1
970,5,5,0,0,c637d15a0d,2
979,5,4,0,1,7bc885a051,2
1047,5,5,0,0,b362d8a97a,4
1098,5,4,1,0,11c7a3578a,2
1125,5,5,0,0,bb4ebd1372,1
1240,5,5,0,0,6b7cbfa625,4
1519,5,5,0,0,90abc63ee1,1
30,4,4,0,0,04e9adca88,1
33,4,4,0,0,8099865a9f,2
68,4,4,0,0,9aa7295a99,2
78,4,4,0,0,921baa09f4,1
132,4,4,0,0,a5c290d6f6,3
145,4,4,0,0,f869179b67,2
174,4,4,0,0,0833117601,3
177,4,4,0,0,60371b311b,3
179,4,4,0,0,1fdd882541,3
180,4,4,0,0,b956c9aa66,3
194,4,4,0,0,a6537ad980,2
244,4,4,0,0,c65816b7fc,3
265,4,4,0,0,0936cd2ede,4
279,4,4,0,0,9465429088,1
303,4,4,0,0,0d36931d12,1
306,4,4,0,0,b291b30fe9,2
310,4,4,0,0,5f6cba3c53,1
